species,s,alpha,g
Acrostichum_sinense,874.4562,21108.39717,0.604917672
Adenophora_triphylla,840.5,19159.5,0.651853749
Adiantum_capillus-veneris,725.805,13519.20925,0.850468817
Adiantum_pedatum,416.670725,15747.70709,0.557657925
Adiantum_pulverulentum,288,11075.63636,0.67156835
Allantodia_dilatata,626.58,8176.236901,1.278727191
Allantodia_megaphylla,628.35125,12321.6617,0.870447021
Alsophila_podophylla,574.605,7262.385596,1.375455928
Angiopteris_cartilagidens,1728,5624.941176,2.178313313
Angiopteris_evecta,2688,7312,2.943636446
Angiopteris_fokiensis,1076.48,6212.149738,2.024269813
Angiopteris_hokouensis,988.3458,12751.69267,1.028911014
Angiopteris_palmiformis,1288,6287.757576,1.78022028
Angiopteris_pruinosa,1344,7915.259259,1.548034779
Angiopteris_yunnanensis,730.3842,6600.994099,1.657682527
Anisocampium_niponicum,1221.1682,4099.112711,2.953687086
Arachniodes_aristata,1295.405,8815.818458,1.600701606
Asplenium_antrophyoides,2037.7728,53703.58729,0.364176254
Asplenium_cuspidatum,2215.4,22174.8439,0.312076989
Asplenium_finlaysonianum,2197.845,43673.71463,0.459585511
Asplenium_nidus,1146.92,37705.75669,0.390857868
Asplenium_scolopendrium,2617,45857.57627,0.790418293
Athyriopsis_tomitaroana,1280.18,17170.0045,0.872059485
Athyrium_melanolepis,1237.0338,10953.62815,1.297402705
Athyrium_multidentatum,1059.588613,14257.04413,0.955667384
Athyrium_sinense,782.10125,16630.40093,0.722240122
Athyrium_spinulosum,1180.98,14493.00119,0.985946284
Blechnum_arcuatum,1512.5,34201.78571,0.489685256
Blechnum_asplenioides,1568,75355.07692,0.231487575
Blechnum_australe,1381.25,41475.89286,0.397471798
Blechnum_glandulosum,1629,50510.03743,0.351047092
Blechnum_gracile,1682,60818,0.295083063
Blechnum_laevigatum,1458,40208.66667,0.41209876
Blechnum_lanceola,1250,48750,0.317977439
Blechnum_meridense,2812.5,52743.05556,0.429269542
Blechnum_occidentale,756.25,38474.51923,0.313048788
Blechnum_orientale,640.82,5505.4615,1.852110468
Blechnum_polypodioides,2450,47550,0.445168414
Bolbitis_heteroclita,1130.50125,31624.16629,0.461608325
Christensenia_assamica,709.51445,6600.42707,1.638619144
Cibotium_barometz,764.405,2110.810641,4.324168829
Colysis_hemionitidea,1592.7368,33868.25611,0.506095435
Colysis_henryi,1334.89445,44098.99923,0.361621973
Colysis_pedunculata,1516.35245,37138.46007,0.453010024
Coniogramme_fraxinea,1118.645,15821.89371,0.887830848
Coniogramme_japonica,1746.405,16703.7795,1.018551691
Cyathea_chinensis,616.005,8087.215191,1.28239983
Cyathea_pungens,450,7125.757576,1.259190657
Cyrtomium_caryotideum,1624.5,25257.22043,0.674239361
Cyrtomium_macrophyllum,1613.12,2393.290256,4.508055181
Danaea_alata,3300,55994.87179,0.488180566
Danaea_augustii,2520.5,97479.5,0.225763981
Danaea_elliptica,2788,18045.33333,1.340590484
Danaea_excurrens,2108,47892,0.379987888
Danaea_nodosa,1984,15873.14286,1.09033625
Dicranopteris_chinensis,810.3375,2006.563908,3.848974827
Dicranopteris_linearis,204.02,1972.732286,2.950792473
Dicranopteris_pedata,235.2725,2251.702363,2.853704422
Diplaziopsis_cavaleriana,954.845,19921.98172,0.665599914
Diplopterygium_chinensis,246.42,1344.669897,4.436643808
Dryopteris_crassirhizoma,1125.91334,9984.112412,1.372796962
Dryopteris_expansa,1169.3448,11369.84015,1.226346767
Dryopteris_sparsa,571.22,6717.409738,1.474575855
Elaphoglossum_glaucum,1872.64,4620.866494,0.939810986
Elaphoglossum_obovatum,684.5,49315.5,0.235303305
Elaphoglossum_petiolatum,1792.7,8623.966667,0.639670503
Gymnocarpium_jessoense,915.0642,19979.21077,0.651043161
Gymnosphaera_gigantea,478.0232,4499.577596,1.975221157
Hemigramma_decurrens,1576.6389,17249.68403,0.860391138
Lepidogrammitis_rostrata,1265.54805,53528.9725,0.29195337
Leptochilus_decurrens,1044.29,25527.86179,0.570976188
Leptochilus_macrophyllus,910.36445,24876.12343,0.526170814
Lomagramma_matthewii,930.96125,21330.8375,0.616335033
Lygodium_digitatum,990.125,9915.000409,1.297554635
Lygodium_japonicum,398.45,5549.85495,1.65589931
Marattia_cicutifolia,2560,80773.33333,0.222563257
Marattia_douglasii,1500,9369.565217,1.357116735
Marattia_excavata,1624,19209.33333,0.897284702
Marattia_fraxinea,1344,11813.89474,1.089357807
Marattia_pellucida,1344,19489.33333,0.688015457
Marattia_werneri,1056,16801.14286,0.883357729
Matteuccia_struthiopteris,1238.796225,17115.05694,0.855815035
Mesopteris_tonkinensis,374.8322,5855.697395,1.397348674
Microlepia_platyphylla,1403.97005,66576.99528,0.247857976
Microsorum_fortunei,1217.71125,26104.69312,0.574334029
Microsorum_punctatum,1376.6429,46082.65214,0.354283721
Onoclea_sensibilis,1035.125,9773.933275,1.338504565
Osmunda_banksiifolia,1067.22,16354.38279,0.84323801
Osmunda_japonica,1076.48,10121.72829,1.317545877
Osmunda_regalis,1995.165,16403.94835,0.96218075
Osmundastrum_cinnamomeum,1564.6418,9628.552738,1.589149358
Phlebodium_areolatum,1842.4,12242.10704,0.770837983
Pleopeltis_mexicana,2190,11143.33333,0.448152086
Polypodium_plebeium,1522.8,6477.2,0.602306237
Polypodium_puberulum,2378.64,18897.95574,0.46486798
Polystichum_neolobatum,844.605,6754.179195,1.719863651
Pronephrium_gymnopteridifrons,350.5952,5217.333531,1.512239647
Pseudodrynaria_coronans,584.82,9030.564615,1.130982154
Pteridium_aquilinum,1044.28865,10651.96763,1.457743109
Pteridrys_cnemidaria,725.0432,10774.49682,1.052962192
Pteris_cretica,972.405,10225.80329,1.25223649
Pteris_esquirolii,737.28,13082.50994,0.883539742
Ptisana_attenuata,4368,4891.259259,2.290304039
Ptisana_sylvatica,3696,21304,1.048973973
Pyrrosia_drakeana,854.91125,23258.90597,0.545262783
Pyrrosia_lingua,1109.205,5037.0765,2.436715169
Pyrrosia_petiolosa,538.555625,3948.753506,2.32513927
Selaginella_superba,315.25605,85227.94327,0.093337794
Tectaria_fauriei,1280.1641,28249.24849,0.544713668
Tectaria_simonsii,999.9392,16001.08086,0.836417521
Thelypteris_nudata,403.28,6709.095533,1.269696632
Woodwardia_japonica,1123.38,19753.44672,0.721955055
