species,s,f,g
Abies_alba,4147.694286,28.1892085,1.437592678
Abies_balsamea,1457,33.2196,3.031147465
Abies_bracteata,1749,14.3418,1.261562619
Abies_fabri,1089.97805,13.02196776,1.773695419
Abies_fraseri,760.5,9.7344,1.587343374
Abies_holophylla,3001.5752,44.68144843,3.667447735
Abies_nephrolepis,1255.851925,15.94837016,2.042651182
Abies_nordmanniana,3809.495,31.20800988,1.584162173
Abies_sibirica,924.5,2.86595,0.423863926
Agathis_australis,737.36,7.88576,1.307396037
Araucaria_araucana,1690.918971,9.038898653,0.929059248
Araucaria_bidwillii,1479,8.2824,0.862115205
Cedrus_deodara,1178,10.013,1.165156493
Cedrus_libani,1481,8.2336,0.842963865
Cephalotaxus_harringtonii,1682,8.41,0.922134572
Chamaecyparis_obtusa,420.5,19.97375,4.380139217
Cryptomeria_japonica,1300.5,26.01,3.243369874
Cunninghamia_lanceolata,993.8825,17.71502483,2.552231602
Cycas_revoluta,1401.3025,7.116734975,0.825610931
Dioon_merolae,612.5,4.05475,0.736753725
Ephedra_equisetina,1576.9728,14.82827524,1.679151346
Ephedra_glauca,1422.5778,20.06545987,2.392337283
Ephedra_intermedia,1616.5298,17.10126875,1.912704058
Ephedra_przewalskii,747.2978,12.73619641,2.095097316
Ephedra_rhytidosperma,1589.3522,18.68124576,2.107206342
Ephedra_sinica,1581.4688,13.94064747,1.576390959
Ginkgo_biloba,1222.125,19.24789247,2.569874003
Juniperus_sabina_var._davurica,253.125,5.65228125,1.597598146
Larix_decidua,1092,1.7472,0.182239103
Larix_gmelinii,1391.20895,13.70329008,1.610799552
Larix_gmelinii_var._principis-rupprechtii,699.38,8.2596778,1.404487268
Larix_sibirica,760.5,3.27015,0.533248165
Lepidozamia_hopei,2383.88,7.93918,0.731030131
Lepidozamia_peroffskyana,2201.34,7.673185067,0.737487193
Macrozamia_miquelii,1635.92,10.2245,1.136769343
Metasequoia_glyptostroboides,2308.218656,38.77807342,3.629602452
Nageia_nagi,439.6933333,5.780931867,1.257982343
Picea_abies,1399.4725,9.64832625,0.872200846
Picea_jezoensis,1043.987425,12.75902655,1.766058555
Picea_koraiensis,1008.3554,10.91742513,1.546703218
Picea_pungens,2205,8.5995,0.143801425
Pinus_armandii,1590.48,26.3860632,2.975238579
Pinus_contorta_var._murrayana,1568,18.6592,2.119001651
Pinus_densiflora,3042,15.21,1.240112011
Pinus_elliottii,828.245,3.43721675,0.537079793
Pinus_koraiensis,1310.222883,17.84347885,2.230522916
Pinus_massoniana,658.845,6.30514665,1.104625004
Pinus_nigra,2052,15.3414,1.154679988
Pinus_palustris,3080,9.548,0.627268741
Pinus_pinaster_subsp._escarena,782,5.5522,0.674936422
Pinus_pumila,1512.5,14.474625,1.673674248
Pinus_roxburghii,1026.145963,4.913375209,0.1368234
Pinus_sylvestris,1178.605,11.1705511,1.340699468
Pinus_tabuliformis,736.17,5.264622583,0.877167263
Pinus_taeda,2231.12,12.494272,1.189490003
Pinus_uncinata,902,5.9532,0.836634424
Podocarpus_latifolius,695.0625,8.3521125,1.142820531
Podocarpus_macrophyllus,619.04,6.1848416,1.161228168
Podocarpus_milanjianus,144.5,2.2253,0.832464934
Podocarpus_neriifolius,486.72,7.3008,1.488134413
Pseudotsuga_menziesii,1518.08875,19.05094525,1.669198092
Sequoia_sempervirens,3295.472578,28.59456206,2.239937513
Taxodium_distichum,839.5619768,13.80687602,1.895904946
Taxus_baccata,1440,23.904,2.040211405
Taxus_wallichiana,662.48,8.877232,1.550966755
Zamia_integrifolia,924.5,6.721115,0.994029271
